player_id,first_name,last_name,address_line1,city,state,zip_code,cmp_card_tier,q2_adt_amount,q2_total_trips,q2_total_coin_in
CMP-100000,Gregory,Johnson,459 Mcclure Well Suite 141,Pembroke Pines,FL,33704,Classic,85.85,4,1920.26
CMP-100001,Linda,Fitzpatrick,07856 Cox Run Apt. 475,Fort Lauderdale,FL,34291,Classic,34.61,2,448.92
CMP-100002,Heather,Cohen,1389 Edward Camp Apt. 701,Hollywood,FL,32429,Classic,17.54,5,588.91
CMP-100003,Christina,Walker,83781 Charles Forks Suite 068,Boca Raton,FL,33045,Platinum,551.23,3,11869.09
CMP-100004,Thomas,Perry,8624 Richmond Manor Apt. 497,West Palm Beach,FL,32153,Gold,165.48,4,4908.93
CMP-100005,Maria,Love,11859 Eaton Circles Apt. 813,West Palm Beach,FL,34392,Classic,72.74,3,1675.82
CMP-100006,Shannon,Johnson,341 Henry Bridge Apt. 574,Fort Lauderdale,FL,34551,Classic,68.77,5,2614.46
CMP-100007,Rebecca,Kennedy,393 Webb River Suite 505,Hollywood,FL,33082,Gold,282.03,4,8917.87
CMP-100008,Kenneth,Rhodes,440 Michael Ridge,Hollywood,FL,33929,Gold,113.75,2,1302.64
CMP-100009,Lisa,Sanchez,0806 Morrison Highway,Fort Lauderdale,FL,33465,Classic,64.81,7,3587.56
CMP-100010,Rickey,Young,29059 Wolf Junctions,Boca Raton,FL,33306,Classic,79.79,3,1576.23
CMP-100011,Colton,Richardson,852 Gonzalez Parkways Apt. 840,Fort Lauderdale,FL,32058,Gold,190.33,5,6915.6
CMP-100012,Michael,Lee,7753 Smith Plaza,Fort Lauderdale,FL,32095,Platinum,379.71,7,20674.11
CMP-100013,Jennifer,Stevens,165 Ashley Vista,West Palm Beach,FL,33596,Gold,248.48,3,4252.93
CMP-100014,Dillon,Steele,368 Heather Crescent Apt. 891,Boca Raton,FL,34147,Classic,65.26,5,2203.52
CMP-100015,Larry,Valdez,645 Harris Lake,Boca Raton,FL,33510,Classic,27.57,4,799.05
CMP-100016,Donald,Perez,79096 david dam,Hollywood,FL,00000,Classic,85.44,6,3206.81
CMP-100017,Michael,Martinez,7333 Danielle Circle,Miami,FL,33988,Gold,159.06,2,2561.56
CMP-100018,April,Wright,2310 Thomas Parkways Suite 579,Miami,FL,33634,Classic,91.27,4,2720.63
CMP-100019,Alexis,Davis,58504 Anderson Landing Apt. 747,Hollywood,FL,33960,Platinum,637.77,4,19650.48
CMP-100020,Edward,Gonzales,4265 Martin Hills Apt. 450,West Palm Beach,FL,33686,Platinum,644.27,12,53229.71
CMP-100021,Natasha,Archer,12415 Harris Springs Apt. 100,Hollywood,FL,32224,Classic,91.32,4,2274.08
CMP-100022,Kara,Flores,649 Patrick Canyon,Fort Lauderdale,FL,33280,Gold,288.39,4,6436.74
CMP-100023,Brandon,Dillon,3315 Jodi Route,Miami,FL,32993,Gold,276.04,6,13396.52
CMP-100024,Samuel,Stevens,1242 Carroll Lakes,Boca Raton,FL,32866,Classic,38.21,5,1155.9
CMP-100025,Kayla,Salazar,69800 William Plains Suite 105,Boca Raton,FL,32730,Gold,140.71,5,4986.55
CMP-100026,Sharon,Williams,825 Angela Isle Apt. 415,Hollywood,FL,33675,Gold,284.27,5,9355.96
CMP-100027,Jennifer,Lynch,852 Hall Skyway Apt. 130,Miami,FL,34192,Gold,231.86,5,9277.37
